"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Month"	"Month Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	14	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	11	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	268	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	152	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	123	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"All other diseases (Residual) "	"GR113-111"	16	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death (999)"	"GR113-999"	28	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Feb., 2022 (provisional)"	"2022/02"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	14	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Feb., 2022 (provisional)"	"2022/02"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	201	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Feb., 2022 (provisional)"	"2022/02"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	114	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Feb., 2022 (provisional)"	"2022/02"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	118	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Feb., 2022 (provisional)"	"2022/02"	"All other diseases (Residual) "	"GR113-111"	10	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Feb., 2022 (provisional)"	"2022/02"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death (999)"	"GR113-999"	11	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Mar., 2022 (provisional and partial)"	"2022/03"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	74	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Mar., 2022 (provisional and partial)"	"2022/03"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	33	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Mar., 2022 (provisional and partial)"	"2022/03"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	48	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	14	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	365	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	140	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	167	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"All other diseases (Residual) "	"GR113-111"	31	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death (999)"	"GR113-999"	36	Not Applicable	Not Applicable
