"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Month"	"Month Code"	"Gender"	"Gender Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"Aug., 2021 (provisional)"	"2021/08"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Sep., 2021 (provisional)"	"2021/09"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	12	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Jan., 2022 (provisional)"	"2022/01"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"15 years"	"15"	"Aug., 2021 (provisional)"	"2021/08"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"17 years"	"17"	"Aug., 2021 (provisional)"	"2021/08"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"18 years"	"18"	"Sep., 2021 (provisional)"	"2021/09"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	15	Not Applicable	Not Applicable
	"18 years"	"18"	"Dec., 2021 (provisional)"	"2021/12"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"19 years"	"19"	"Sep., 2021 (provisional)"	"2021/09"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	14	Not Applicable	Not Applicable
	"19 years"	"19"	"Sep., 2021 (provisional)"	"2021/09"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	12	Not Applicable	Not Applicable
	"19 years"	"19"	"Oct., 2021 (provisional)"	"2021/10"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"19 years"	"19"	"Jan., 2022 (provisional)"	"2022/01"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	12	Not Applicable	Not Applicable
	"20 years"	"20"	"Aug., 2021 (provisional)"	"2021/08"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	12	Not Applicable	Not Applicable
	"20 years"	"20"	"Aug., 2021 (provisional)"	"2021/08"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	12	Not Applicable	Not Applicable
	"20 years"	"20"	"Sep., 2021 (provisional)"	"2021/09"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	14	Not Applicable	Not Applicable
	"20 years"	"20"	"Sep., 2021 (provisional)"	"2021/09"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	19	Not Applicable	Not Applicable
	"20 years"	"20"	"Oct., 2021 (provisional)"	"2021/10"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	14	Not Applicable	Not Applicable
	"20 years"	"20"	"Dec., 2021 (provisional)"	"2021/12"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	11	Not Applicable	Not Applicable
	"21 years"	"21"	"Jan., 2021 (provisional)"	"2021/01"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	11	Not Applicable	Not Applicable
	"21 years"	"21"	"Aug., 2021 (provisional)"	"2021/08"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	20	Not Applicable	Not Applicable
	"21 years"	"21"	"Sep., 2021 (provisional)"	"2021/09"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	16	Not Applicable	Not Applicable
	"21 years"	"21"	"Sep., 2021 (provisional)"	"2021/09"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	23	Not Applicable	Not Applicable
	"21 years"	"21"	"Oct., 2021 (provisional)"	"2021/10"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	12	Not Applicable	Not Applicable
	"21 years"	"21"	"Nov., 2021 (provisional)"	"2021/11"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	11	Not Applicable	Not Applicable
	"21 years"	"21"	"Nov., 2021 (provisional)"	"2021/11"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"21 years"	"21"	"Dec., 2021 (provisional)"	"2021/12"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"21 years"	"21"	"Jan., 2022 (provisional)"	"2022/01"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	13	Not Applicable	Not Applicable
	"22 years"	"22"	"Jul., 2020"	"2020/07"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	13	Not Applicable	Not Applicable
	"22 years"	"22"	"Aug., 2021 (provisional)"	"2021/08"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	20	Not Applicable	Not Applicable
	"22 years"	"22"	"Aug., 2021 (provisional)"	"2021/08"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	22	Not Applicable	Not Applicable
	"22 years"	"22"	"Sep., 2021 (provisional)"	"2021/09"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	15	Not Applicable	Not Applicable
	"22 years"	"22"	"Sep., 2021 (provisional)"	"2021/09"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	40	Not Applicable	Not Applicable
	"22 years"	"22"	"Oct., 2021 (provisional)"	"2021/10"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	12	Not Applicable	Not Applicable
	"22 years"	"22"	"Dec., 2021 (provisional)"	"2021/12"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	12	Not Applicable	Not Applicable
	"22 years"	"22"	"Jan., 2022 (provisional)"	"2022/01"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	17	Not Applicable	Not Applicable
	"22 years"	"22"	"Jan., 2022 (provisional)"	"2022/01"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	17	Not Applicable	Not Applicable
	"23 years"	"23"	"Apr., 2020"	"2020/04"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	11	Not Applicable	Not Applicable
	"23 years"	"23"	"Dec., 2020"	"2020/12"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	12	Not Applicable	Not Applicable
	"23 years"	"23"	"Jan., 2021 (provisional)"	"2021/01"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"23 years"	"23"	"Jul., 2021 (provisional)"	"2021/07"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"23 years"	"23"	"Aug., 2021 (provisional)"	"2021/08"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	21	Not Applicable	Not Applicable
	"23 years"	"23"	"Aug., 2021 (provisional)"	"2021/08"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	34	Not Applicable	Not Applicable
	"23 years"	"23"	"Sep., 2021 (provisional)"	"2021/09"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	17	Not Applicable	Not Applicable
	"23 years"	"23"	"Sep., 2021 (provisional)"	"2021/09"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	28	Not Applicable	Not Applicable
	"23 years"	"23"	"Oct., 2021 (provisional)"	"2021/10"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	21	Not Applicable	Not Applicable
	"23 years"	"23"	"Nov., 2021 (provisional)"	"2021/11"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	11	Not Applicable	Not Applicable
	"23 years"	"23"	"Dec., 2021 (provisional)"	"2021/12"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	14	Not Applicable	Not Applicable
	"23 years"	"23"	"Dec., 2021 (provisional)"	"2021/12"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	12	Not Applicable	Not Applicable
	"23 years"	"23"	"Jan., 2022 (provisional)"	"2022/01"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	11	Not Applicable	Not Applicable
	"24 years"	"24"	"Apr., 2020"	"2020/04"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	12	Not Applicable	Not Applicable
	"24 years"	"24"	"Jul., 2020"	"2020/07"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	11	Not Applicable	Not Applicable
	"24 years"	"24"	"Dec., 2020"	"2020/12"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	18	Not Applicable	Not Applicable
	"24 years"	"24"	"Jan., 2021 (provisional)"	"2021/01"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	14	Not Applicable	Not Applicable
	"24 years"	"24"	"Jan., 2021 (provisional)"	"2021/01"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"24 years"	"24"	"Feb., 2021 (provisional)"	"2021/02"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"24 years"	"24"	"Feb., 2021 (provisional)"	"2021/02"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	14	Not Applicable	Not Applicable
	"24 years"	"24"	"Aug., 2021 (provisional)"	"2021/08"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	24	Not Applicable	Not Applicable
