"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Month"	"Month Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"Jan., 2018"	"2018/01"	"Female"	"F"	822	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Jan., 2018"	"2018/01"	"Male"	"M"	1078	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Feb., 2018"	"2018/02"	"Female"	"F"	731	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Feb., 2018"	"2018/02"	"Male"	"M"	926	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Mar., 2018"	"2018/03"	"Female"	"F"	821	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Mar., 2018"	"2018/03"	"Male"	"M"	1051	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Apr., 2018"	"2018/04"	"Female"	"F"	774	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Apr., 2018"	"2018/04"	"Male"	"M"	982	Not Applicable	Not Applicable
	"< 1 year"	"0"	"May, 2018"	"2018/05"	"Female"	"F"	763	Not Applicable	Not Applicable
	"< 1 year"	"0"	"May, 2018"	"2018/05"	"Male"	"M"	1022	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Jun., 2018"	"2018/06"	"Female"	"F"	756	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Jun., 2018"	"2018/06"	"Male"	"M"	951	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Jul., 2018"	"2018/07"	"Female"	"F"	809	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Jul., 2018"	"2018/07"	"Male"	"M"	1017	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Aug., 2018"	"2018/08"	"Female"	"F"	795	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Aug., 2018"	"2018/08"	"Male"	"M"	1018	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Sep., 2018"	"2018/09"	"Female"	"F"	820	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Sep., 2018"	"2018/09"	"Male"	"M"	1010	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Oct., 2018"	"2018/10"	"Female"	"F"	821	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Oct., 2018"	"2018/10"	"Male"	"M"	1037	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Nov., 2018"	"2018/11"	"Female"	"F"	762	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Nov., 2018"	"2018/11"	"Male"	"M"	962	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Dec., 2018"	"2018/12"	"Female"	"F"	725	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Dec., 2018"	"2018/12"	"Male"	"M"	1014	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Jan., 2019"	"2019/01"	"Female"	"F"	716	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Jan., 2019"	"2019/01"	"Male"	"M"	990	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Feb., 2019"	"2019/02"	"Female"	"F"	715	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Feb., 2019"	"2019/02"	"Male"	"M"	920	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Mar., 2019"	"2019/03"	"Female"	"F"	840	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Mar., 2019"	"2019/03"	"Male"	"M"	998	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Apr., 2019"	"2019/04"	"Female"	"F"	824	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Apr., 2019"	"2019/04"	"Male"	"M"	910	Not Applicable	Not Applicable
	"< 1 year"	"0"	"May, 2019"	"2019/05"	"Female"	"F"	770	Not Applicable	Not Applicable
	"< 1 year"	"0"	"May, 2019"	"2019/05"	"Male"	"M"	1030	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Jun., 2019"	"2019/06"	"Female"	"F"	754	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Jun., 2019"	"2019/06"	"Male"	"M"	1029	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Jul., 2019"	"2019/07"	"Female"	"F"	773	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Jul., 2019"	"2019/07"	"Male"	"M"	995	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Aug., 2019"	"2019/08"	"Female"	"F"	796	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Aug., 2019"	"2019/08"	"Male"	"M"	982	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Sep., 2019"	"2019/09"	"Female"	"F"	754	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Sep., 2019"	"2019/09"	"Male"	"M"	966	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Oct., 2019"	"2019/10"	"Female"	"F"	780	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Oct., 2019"	"2019/10"	"Male"	"M"	917	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Nov., 2019"	"2019/11"	"Female"	"F"	752	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Nov., 2019"	"2019/11"	"Male"	"M"	948	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Dec., 2019"	"2019/12"	"Female"	"F"	773	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Dec., 2019"	"2019/12"	"Male"	"M"	989	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Jan., 2020"	"2020/01"	"Female"	"F"	826	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Jan., 2020"	"2020/01"	"Male"	"M"	951	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Feb., 2020"	"2020/02"	"Female"	"F"	761	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Feb., 2020"	"2020/02"	"Male"	"M"	912	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Mar., 2020"	"2020/03"	"Female"	"F"	720	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Mar., 2020"	"2020/03"	"Male"	"M"	926	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Apr., 2020"	"2020/04"	"Female"	"F"	675	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Apr., 2020"	"2020/04"	"Male"	"M"	894	Not Applicable	Not Applicable
	"< 1 year"	"0"	"May, 2020"	"2020/05"	"Female"	"F"	724	Not Applicable	Not Applicable
	"< 1 year"	"0"	"May, 2020"	"2020/05"	"Male"	"M"	968	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Jun., 2020"	"2020/06"	"Female"	"F"	748	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Jun., 2020"	"2020/06"	"Male"	"M"	916	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Jul., 2020"	"2020/07"	"Female"	"F"	727	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Jul., 2020"	"2020/07"	"Male"	"M"	922	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Aug., 2020"	"2020/08"	"Female"	"F"	755	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Aug., 2020"	"2020/08"	"Male"	"M"	866	Not Applicable	Not Applicable
